Movie;Character;Screen Time
Harry Potter and the Sorcerer's Stone;Harry Potter ;72:45:00
Harry Potter and the Sorcerer's Stone;Ron Weasley ;28:15:00
Harry Potter and the Sorcerer's Stone;Hermione Granger ;23:15
Harry Potter and the Sorcerer's Stone;Rubeus Hagrid ;16:30
Harry Potter and the Sorcerer's Stone;Professor Albus Dumbledore ;09:45
Harry Potter and the Sorcerer's Stone;Professor Minerva McGonagall ;07:30
Harry Potter and the Sorcerer's Stone;Professor Quirinus Quirrell ;7
Harry Potter and the Sorcerer's Stone;Draco Malfoy ;04:15
Harry Potter and the Sorcerer's Stone;Professor Severus Snape ;4
Harry Potter and the Sorcerer's Stone;Vernon Dursley ;4
Harry Potter and the Sorcerer's Stone;Neville Longbottom ;03:15
Harry Potter and the Sorcerer's Stone;Petunia Dursley ;3
Harry Potter and the Sorcerer's Stone;Mr. Ollivander ;3
Harry Potter and the Sorcerer's Stone;Dudley Dursley ;02:45
Harry Potter and the Sorcerer's Stone;Oliver Wood ;02:45
Harry Potter and the Sorcerer's Stone;Voldemort ;2
Harry Potter and the Sorcerer's Stone;The Sorting Hat ;2
Harry Potter and the Sorcerer's Stone;Hedwig ;01:45
Harry Potter and the Sorcerer's Stone;Madame Hooch ;01:45
Harry Potter and the Sorcerer's Stone;Percy Weasley ;01:45
Harry Potter and the Sorcerer's Stone;Seamus Finnigan ;01:45
Harry Potter and the Sorcerer's Stone;Fred Weasley ;01:30
Harry Potter and the Sorcerer's Stone;George Weasley ;01:30
Harry Potter and the Sorcerer's Stone;Firenze ;01:30
Harry Potter and the Sorcerer's Stone;Dean Thomas ;01:15
Harry Potter and the Sorcerer's Stone;Argus Filch ;01:15
Harry Potter and the Sorcerer's Stone;Lily Potter ;01:15
Harry Potter and the Sorcerer's Stone;James Potter ;1
Harry Potter and the Sorcerer's Stone;Professor Filius Flitwick ;1
Harry Potter and the Sorcerer's Stone;Fang ;1
Harry Potter and the Sorcerer's Stone;"Sir Nicholas ""Nearly-Headless Nick"" ";:45
Harry Potter and the Sorcerer's Stone;Griphook ;:45
Harry Potter and the Sorcerer's Stone;Lee Jordan ;:45
Harry Potter and the Sorcerer's Stone;Marcus Flint ;:45
Harry Potter and the Sorcerer's Stone;Alicia Spinnet ;:45
Harry Potter and the Sorcerer's Stone;Vincent Crabbe ;:45
Harry Potter and the Sorcerer's Stone;Gregory Goyle ;:45
Harry Potter and the Sorcerer's Stone;Angelina Johnson ;:30
Harry Potter and the Sorcerer's Stone;Katie Bell ;:30
Harry Potter and the Sorcerer's Stone;Molly Weasley ;:30
Harry Potter and the Sorcerer's Stone;Ginny Weasley ;:15
Harry Potter and the Sorcerer's Stone;Fat Lady ;:15
Harry Potter and the Sorcerer's Stone;Scabbers / Peter Pettigrew ;:15
Harry Potter and the Chamber of Secrets;Harry Potter ;83:45:00
Harry Potter and the Chamber of Secrets;Ron Weasley ;38:15:00
Harry Potter and the Chamber of Secrets;Hermione Granger ;15:30
Harry Potter and the Chamber of Secrets;Professor Albus Dumbledore ;10:45
Harry Potter and the Chamber of Secrets;Professor Gilderoy Lockhart ;10:30
Harry Potter and the Chamber of Secrets;Rubeus Hagrid ;08:15
Harry Potter and the Chamber of Secrets;Dobby ;07:30
Harry Potter and the Chamber of Secrets;Draco Malfoy ;7
Harry Potter and the Chamber of Secrets;Tom Riddle / Voldemort ;06:45
Harry Potter and the Chamber of Secrets;Lucius Malfoy ;06:45
Harry Potter and the Chamber of Secrets;Professor Minerva McGonagall ;05:45
Harry Potter and the Chamber of Secrets;Ginny Weasley ;04:45
Harry Potter and the Chamber of Secrets;Professor Severus Snape ;04:30
Harry Potter and the Chamber of Secrets;Arthur Weasley ;02:30
Harry Potter and the Chamber of Secrets;Cornelius Fudge ;02:30
Harry Potter and the Chamber of Secrets;Vernon Dursley ;02:30
Harry Potter and the Chamber of Secrets;Fred Weasley ;02:30
Harry Potter and the Chamber of Secrets;George Weasley ;02:30
Harry Potter and the Chamber of Secrets;Fawkes ;02:30
Harry Potter and the Chamber of Secrets;Molly Weasley ;02:15
Harry Potter and the Chamber of Secrets;Oliver Wood ;01:45
Harry Potter and the Chamber of Secrets;Argus Filch ;01:45
Harry Potter and the Chamber of Secrets;Hedwig ;01:45
Harry Potter and the Chamber of Secrets;Moaning Myrtle ;01:30
Harry Potter and the Chamber of Secrets;Petunia Dursley ;01:30
Harry Potter and the Chamber of Secrets;Professor Pomona Sprout ;01:30
Harry Potter and the Chamber of Secrets;Percy Weasley ;01:30
Harry Potter and the Chamber of Secrets;Fang ;01:30
Harry Potter and the Chamber of Secrets;Colin Creevy ;01:15
Harry Potter and the Chamber of Secrets;Dudley Dursley ;01:15
Harry Potter and the Chamber of Secrets;Neville Longbottom ;01:15
Harry Potter and the Chamber of Secrets;Madame Poppy Pomfrey ;01:15
Harry Potter and the Chamber of Secrets;Vincent Crabbe ;01:15
Harry Potter and the Chamber of Secrets;Gregory Goyle ;01:15
Harry Potter and the Chamber of Secrets;Dean Thomas ;1
Harry Potter and the Chamber of Secrets;Seamus Finnigan ;1
Harry Potter and the Chamber of Secrets;Aragog ;1
Harry Potter and the Chamber of Secrets;Marcus Flint ;1
Harry Potter and the Chamber of Secrets;The Sorting Hat ;00:45
Harry Potter and the Chamber of Secrets;Justin Finch-Fletchley ;00:45
Harry Potter and the Chamber of Secrets;"Sir Nicholas ""Nearly-Headless Nick"" ";00:45
Harry Potter and the Chamber of Secrets;Angelina Johnson ;00:30
Harry Potter and the Chamber of Secrets;Alicia Spinnet ;00:30
Harry Potter and the Chamber of Secrets;Katie Bell ;00:30
Harry Potter and the Chamber of Secrets;Scabbers / Peter Pettigrew ;00:30
Harry Potter and the Chamber of Secrets;Professor Filius Flitwick ;00:15
Harry Potter and the Chamber of Secrets;Lee Jordan ;00:15
Harry Potter and the Prisoner of Azkaban ;Harry Potter ;74:30:00
Harry Potter and the Prisoner of Azkaban ;Hermione Granger ;34:45:00
Harry Potter and the Prisoner of Azkaban ;Ron Weasley ;21:15
Harry Potter and the Prisoner of Azkaban ;Professor Remus Lupin ;19:15
Harry Potter and the Prisoner of Azkaban ;Sirius Black ;11:30
Harry Potter and the Prisoner of Azkaban ;Buckbeak ;07:45
Harry Potter and the Prisoner of Azkaban ;Professor Albus Dumbledore ;06:15
Harry Potter and the Prisoner of Azkaban ;Professor Severus Snape ;05:45
Harry Potter and the Prisoner of Azkaban ;Professor Rubeus Hagrid ;05:15
